epoch,learning_rate,train_loss,test_loss,train_iou,test_iou,train_dice,test_dice,train_miou,test_miou,train_mnsd,test_mnsd,train_seg_score,test_seg_score
1,0.0001,0.7572205976963043,0.2451592712715744,0.03764880750030279,0.021602574210723802,0.11689067072868348,0.08381020777952612,0.03764880750030279,0.021602574210723802,6.496373596668243,9.578806605327335,143.44015694835187,88.30559451420419
2,0.0001,0.1284958789229393,0.06562150751197074,0.02547036785930395,0.021602618307817994,0.10277122480869293,0.08381051948655589,0.02547036785930395,0.021602618307817994,9.480868713378907,9.579417545028049,153.86618923573494,88.30981683804303
3,0.0001,0.04241107273101807,0.02681739291482827,0.02546980210095644,0.02160257425648904,0.10276877917647362,0.08381020788936269,0.02546980210095644,0.02160257425648904,9.478822503662109,9.578770318839709,153.86371935768128,88.30527610026061
4,1e-05,0.025600151056051255,0.024424893978333296,0.025469629140198232,0.02160257445327956,0.10276812740564346,0.08381020832870897,0.025469629140198232,0.02160257445327956,9.476709657287598,9.578914283827423,153.8839451567173,88.30630540196081
5,1e-05,0.023186668255925177,0.021922423231989806,0.025469573199748994,0.021602575364007778,0.10276798521280289,0.08381021055289949,0.025469573199748994,0.021602575364007778,9.474758499145508,9.578948958207114,153.43257705874444,88.30654210145116
6,1.0000000000000002e-06,0.02175947107374668,0.021653324516641127,0.025469622510671617,0.021602574357172562,0.10276817706823349,0.08381020810903583,0.025469622510671617,0.021602574357172562,9.47689329071045,9.578830979087137,153.9141515814781,88.30571089695947
7,1.0000000000000002e-06,0.021428686451911927,0.021358798557768875,0.025469642791152,0.021602577899401912,0.10276824066638947,0.08381021753667467,0.025469642791152,0.021602577899401912,9.475162240600586,9.578989286680478,153.59525093941687,88.30680642081127
8,1.0000000000000002e-07,0.021217867919802666,0.021242701963359072,0.025469627787172794,0.021602574952120642,0.10276828677654266,0.08381020950029903,0.025469627787172794,0.021602574952120642,9.478697358703613,9.578904233927808,153.81337408366204,88.30622428648302
9,1.0000000000000002e-07,0.02116646395623684,0.02126437536365277,0.025469575214385986,0.021602612273671485,0.10276795378923416,0.08381043602906954,0.025469575214385986,0.021602612273671485,9.479514910888671,9.57976889083075,153.69539466047286,88.31200121881335
10,1.0000000000000004e-08,0.021130283963680267,0.02123947422356512,0.025469567602872847,0.021602578878777985,0.10276798529028892,0.08381021992562004,0.025469567602872847,0.021602578878777985,9.476010659790038,9.579032787819752,153.6619534272194,88.30710072211318
11,1.0000000000000004e-08,0.02112482513487339,0.021155680010337793,0.02546958290040493,0.02160257416038204,0.10276797102689743,0.08381020766968955,0.02546958290040493,0.02160257416038204,9.47484238128662,9.578752578622879,153.29122141838073,88.3051423671351
12,1.0000000000000004e-08,0.021116434714198114,0.02121890546337539,0.025469609735906125,0.021602577592774824,0.10276805597543716,0.08381021676781869,0.025469609735906125,0.021602577592774824,9.47553133392334,9.57904797162705,153.2263186903,88.30723316004587
13,1.0000000000000004e-08,0.021109088709950447,0.021140842938781955,0.025469497571885585,0.021602578089327647,0.10276769251227379,0.08381021807670447,0.025469497571885585,0.021602578089327647,9.47862152404785,9.579062422018964,154.22662232856752,88.30733704757338
14,1.0000000000000004e-08,0.021101552909612655,0.021129224765176268,0.025469603694975376,0.021602574288524707,0.10276818813681603,0.08381020796258708,0.025469603694975376,0.021602574288524707,9.47645979309082,9.578802511791633,153.6710115135193,88.30550554753522
