epoch,learning_rate,train_loss,test_loss,train_iou,test_iou,train_dice,test_dice
1,0.0001,2.1391844290953417,2.239951408826388,0.035363570715372376,0.015741291348464213,0.0820483209995123,0.039447009563446045
2,0.0001,1.7787091090128972,1.8767299010203435,0.04003018642274233,0.019268316718248222,0.09476830523747665,0.046924108209518284
3,0.0001,1.6877074149938731,1.64740540431096,0.04067790479614185,0.020681857489622556,0.0973396971821785,0.05154708156792017
4,0.0001,1.5607796357228205,1.4752513353641217,0.03888809236769493,0.01589168901913441,0.09634640411688732,0.042326171667529985
5,0.0001,1.4936649615948017,2.5084710854750414,0.0301314012075846,0.01733066807859219,0.08018314379912156,0.04603982946047416
